Mxenes,deltaG_H
VScBCl2-2,2.4319286
VScBCl2-3,2.2730588
VScBO2-1,-0.2511072
VScBO2-2,1.6137197
VScBO2-3,2.2545013
VScBS2-1,-0.08125306
VScBS2-2,0.64959374
VScBS2-3,2.15206654
VScBX-1,-0.90215688
VScBX-2,-0.17501866
VScBX-3,-0.97570914
VScNCl2-1,2.1838018
VScNCl2-2,2.2586916
VScNCl2-3,2.3062474
VScNO2-1,-1.9091046
VScNO2-2,2.3582862
VScNO2-3,2.0328689
VScNS2-1,-1.14825194
VScNS2-2,0.78435896
VScNS2-3,1.49822216
VScNX-1,-0.7624392
VScNX-2,0.2103811
VScNX-3,-0.376167
VTiBF2-1,1.4957713
VTiBF2-2,2.1749648
VTiBF2-3,2.2488825
VTiNF2-1,1.7645834
VTiNF2-2,2.2941894
VTiNF2-3,2.2584475
VVNF2-1,1.4414291
VVNF2-2,1.8520686
VVNF2-3,2.2889442
VYCCl2-1,1.381997
VYCCl2-2,2.2222975
VYCCl2-3,2.2489395
VYCO2-1,-2.4907561
VYCO2-2,-0.3593479
VYCO2-3,1.9234623
VYCS2-1,-0.51801331
VYCS2-2,0.35948359
VYCS2-3,0.81863629
VYCX-1,-0.19249088
VYCX-2,0.73416496
VYCX-3,-0.62397848
VZrBF2-1,1.0425286
VZrBF2-2,2.1456095
VZrBF2-3,2.2590835
VZrNF2-1,2.1830637
VZrNF2-2,2.2825011
VZrNF2-3,2.2789157
YCrCCl2-1,3.1524593
YCrCCl2-2,2.3363406
YCrCCl2-3,2.3371202
YCrCF2-1,2.4965903
YCrCF2-2,2.3085885
YCrCF2-3,2.3073663
YCrCO2-1,-2.4474166
YCrCO2-2,2.0838756
YCrCO2-3,2.087555
YCrCS2-1,-1.6709789
YCrCS2-2,-1.3862534
YCrCS2-3,-1.1203035
YCrCX-1,-0.9304385
YCrCX-2,0.2047084
YCrCX-3,-0.7907059
YHfCF2-1,2.41068
YHfCF2-2,2.3040542
YHfCF2-3,2.3017703
YHfNCl2-1,2.4690195
YHfNCl2-2,2.3050618
YHfNCl2-3,2.3520843
YHfNO2-1,0.722033
YHfNO2-2,2.2619251
YHfNO2-3,2.2750652
YHfNS2-1,0.04051911
YHfNS2-2,0.32659801
YHfNS2-3,0.19973921
YHfNX-1,-2.0668269
YHfNX-2,-0.5356059
YHfNX-3,-1.3673912
YMnBF2-1,2.2191926
YMnBF2-2,2.3068591
YMnBF2-3,2.2886404
YMnNF2-1,2.1377829
YMnNF2-2,2.2624705
YMnNF2-3,2.4483174
YMoCCl2-1,2.5742215
YMoCCl2-2,2.2678338
YMoCCl2-3,2.3373163
YMoCO2-1,-0.6100723
YMoCO2-2,2.304305
YMoCO2-3,2.3984725
YMoCS2-1,-0.73476256
YMoCS2-2,-0.18819086
YMoCS2-3,-0.58782286
YMoCX-1,-1.0446807
YMoCX-2,0.4437262
YMoCX-3,-0.8078404
YNbBF2-1,2.1866901
YNbBF2-2,2.2896465
YNbBF2-3,2.2958497
YScBCl2-1,2.4765498
YScBCl2-2,2.3047529
YScBCl2-3,2.2590028
YScBO2-1,-0.4487696
YScBO2-2,2.2924024
YScBO2-3,2.3204075
YScBS2-1,-0.19344481
YScBS2-2,-2.84976061
YScBS2-3,-3.28286231
YScBX-1,-0.20970672
YScBX-2,0.47974501
YScBX-3,-0.73663664
YTiCCl2-1,2.5431161
YTiCCl2-2,2.3381524
YTiCCl2-3,2.3370071
YTiCO2-1,-1.2597049
YTiCO2-2,2.3355787
YTiCO2-3,2.3264336
YTiCS2-1,-0.43771287
YTiCS2-2,0.01157463
YTiCS2-3,-0.27839097
YTiCX-1,-0.90705409
YTiCX-2,0.54746592
YTiCX-3,-0.76653429
YVNCl2-1,2.5914341
YVNCl2-2,2.2960418
YVNCl2-3,2.3321956
YVNF2-1,2.4563258
YVNF2-2,1.8036965
YVNF2-3,2.2848787
YVNO2-1,-1.0329803
YVNO2-2,2.5971604
YVNO2-3,2.466957
YVNS2-1,-0.46481913
YVNS2-2,-1.47359823
YVNS2-3,-0.80721673
YVNX-1,-1.56394048
YVNX-2,-0.38136068
YVNX-3,-1.68761038
YYCCl2-1,2.5258809
YYCCl2-2,2.3490696
YYCCl2-3,2.3566653
YYCO2-1,-1.2557039
YYCO2-2,2.3014374
YYCO2-3,2.1189722
YYCS2-1,-0.63511081
YYCS2-2,-0.27240701
YYCS2-3,-0.36856051
YYCX-1,-0.32210248
YYCX-2,0.47426167
YYCX-3,-0.78445058
YYNCl2-1,2.7769632
YYNCl2-2,2.2907723
YYNCl2-3,2.3323378
YYNO2-1,-2.064589
YYNO2-2,0.3613471
YYNO2-3,-1.9830725
YYNS2-1,-0.51151333
YYNS2-2,-0.20342913
YYNS2-3,-0.30691153
YYNX-1,-2.20220983
YYNX-2,-0.21643594
YYNX-3,-1.76339414
YZrBF2-1,2.1829739
YZrBF2-2,2.3141077
YZrBF2-3,2.299991
ZrCrNF2-1,2.4492645
ZrCrNF2-2,2.3075251
ZrCrNF2-3,2.2929866
ZrHfBCl2-1,2.6828963
ZrHfBCl2-2,2.2932511
ZrHfBCl2-3,2.3127591
ZrHfBO2-1,0.4897637
ZrHfBO2-2,2.2590484
ZrHfBO2-3,2.2919075
ZrHfBS2-1,0.04810327
ZrHfBS2-2,0.59771717
ZrHfBS2-3,-0.26060643
ZrHfBX-1,-1.0946138
ZrHfBX-2,0.291299
ZrHfBX-3,-0.9342612
ZrMnCF2-1,2.837671
ZrMnCF2-2,2.3653609
ZrMnCF2-3,2.3000368
ZrMnNCl2-1,1.6534196
ZrMnNCl2-2,2.1692139
ZrMnNCl2-3,2.2829228
ZrMnNO2-1,0.1654463
ZrMnNO2-2,2.2738283
ZrMnNO2-3,-0.5746549
ZrMnNS2-1,0.08755725
ZrMnNS2-2,2.26362445
ZrMnNS2-3,0.84576205
ZrMnNX-1,-1.0967014
ZrMnNX-2,0.4996907
ZrMnNX-3,-0.8238342
ZrScCF2-1,2.4205723
ZrScCF2-2,1.5517271
ZrScCF2-3,2.3012144
ZrTiBCl2-1,2.7009549
ZrTiBCl2-2,2.261947
ZrTiBCl2-3,2.3290612
ZrTiBO2-1,-0.0383372
ZrTiBO2-2,2.2581636
ZrTiBO2-3,2.2843922
ZrTiBS2-1,0.14291747
ZrTiBS2-2,0.65691237
ZrTiBS2-3,-0.24795323
ZrTiBX-1,-1.19417581
ZrTiBX-2,0.32246173
ZrTiBX-3,-1.12152199
ZrTiNF2-1,2.2171885
ZrTiNF2-2,2.3428041
ZrTiNF2-3,2.2912337
ZrVBCl2-1,2.543756
ZrVBCl2-2,2.3560718
ZrVBCl2-3,2.3187544
ZrVBO2-1,0.4710607
ZrVBO2-2,2.1330881
ZrVBO2-3,2.3323411
ZrVBS2-1,0.15046642
ZrVBS2-2,0.67643612
ZrVBS2-3,1.34188722
ZrVBX-1,-1.3222239
ZrVBX-2,0.3105552
ZrVBX-3,-1.14259929
ZrVNCl2-1,2.3568146
ZrVNCl2-2,2.3144554
ZrVNCl2-3,2.3538042
ZrVNF2-1,2.2147387
ZrVNF2-2,2.3506667
ZrVNF2-3,2.3395114
ZrVNO2-1,1.0999879
ZrVNO2-2,-1.9374943
ZrVNO2-3,2.36546
ZrVNS2-1,-0.00524682
ZrVNS2-2,2.27889898
ZrVNS2-3,0.23929288
ZrVNX-1,-1.4062954
ZrVNX-2,3.4471864
ZrVNX-3,0.3411233
ZrYBF2-1,2.1881295
ZrYBF2-2,2.2323389
ZrYBF2-3,2.294264
ZrZrCF2-1,2.4684159
ZrZrCF2-2,2.3656065
ZrZrCF2-3,2.2960518
